match_id,batter,runs_batter,balls_faced
336008,RA Jadeja,0,1
336008,RV Uthappa,34,21
336008,SA Asnodkar,39,36
336008,SK Trivedi,1,3
336008,SK Warne,7,7
336008,SR Watson,32,20
336008,ST Jayasuriya,18,20
336008,Sohail Tanvir,6,6
336008,YK Pathan,1,3
336008,YV Takawale,27,32
336009,AB de Villiers,0,1
336009,CK Kapugedera,8,9
336009,G Gambhir,80,49
336009,JA Morkel,30,15
336009,KD Karthik,6,3
336009,MK Tiwary,5,2
336009,MS Dhoni,33,33
336009,MS Gony,13,5
336009,S Badrinath,8,5
336009,S Dhawan,59,46
336009,S Vidyut,40,23
336009,SK Raina,1,2
336009,SP Fleming,44,28
336009,Shoaib Malik,2,3
336009,V Sehwag,23,18
336010,A Chopra,2,5
336010,BJ Hodge,10,11
336010,CL White,30,16
336010,DJ Hussey,26,12
336010,J Arunkumar,22,17
336010,LR Shukla,11,9
336010,M Kartik,17,13
336010,MV Boucher,50,40
336010,P Kumar,4,2
336010,R Dravid,5,11
336010,S Chanderpaul,7,11
336010,SC Ganguly,20,22
336010,T Taibu,15,12
336010,Umar Gul,6,2
336010,WP Saha,17,10
336011,AC Gilchrist,61,49
336011,DB Ravi Teja,6,8
336011,GC Smith,40,43
336011,HH Gibbs,19,20
336011,M Kaif,17,14
336011,PP Ojha,1,2
336011,RG Sharma,5,8
336011,RP Singh,2,3
336011,SB Bangar,3,6
336011,SB Styris,13,11
336011,SR Watson,5,2
336011,Shahid Afridi,1,3
336011,Y Venugopal Rao,23,11
336011,YK Pathan,68,37
336012,B Akhil,5,4
336012,CL White,26,20
336012,MV Boucher,18,15
336012,Misbah-ul-Haq,0,1
336012,P Kumar,8,11
336012,R Dravid,11,16
336012,R Vinay Kumar,23,17
336012,RV Uthappa,19,16
336012,SP Goswami,20,24
336012,SR Tendulkar,40,43
336012,ST Jayasuriya,54,37
336012,V Kohli,0,1
336013,DPMD Jayawardene,8,6
336013,IK Pathan,40,18
336013,JA Morkel,7,6
336013,JR Hopes,14,7
336013,K Goel,1,7
336013,MS Dhoni,60,43
336013,PP Chawla,17,15
336013,RR Sarwan,20,22
336013,S Badrinath,64,47
336013,S Vidyut,8,4
336013,SE Marsh,58,38
336013,SK Raina,26,17
336013,SP Fleming,1,4
336013,U Kaul,0,1
336013,VRV Singh,0,1
336013,Yuvraj Singh,2,5
336014,A Chopra,24,23
336014,AC Gilchrist,24,17
336014,DB Ravi Teja,10,7
336014,DJ Hussey,57,29
336014,HH Gibbs,5,7
336014,LR Shukla,14,3
336014,RG Sharma,33,24
336014,RP Singh,6,4
336014,SB Bangar,2,4
336014,SB Styris,5,11
336014,SC Ganguly,91,57
336014,Salman Butt,4,4
336014,T Taibu,9,5
336014,WPUJC Vaas,9,8
336014,Y Venugopal Rao,71,42
336015,A Mishra,4,5
336015,AB de Villiers,20,22
336015,AD Mascarenhas,9,8
336015,G Gambhir,31,23
336015,GC Smith,24,27
336015,KD Karthik,13,15
336015,M Kaif,1,5
336015,M Rawat,5,4
336015,MF Maharoof,39,16
336015,NK Patel,4,2
336015,RA Jadeja,6,6
336015,S Dhawan,3,3
336015,SK Warne,11,12
336015,SR Watson,74,40
336015,TM Dilshan,18,15
336015,V Sehwag,17,20
336015,VY Mahesh,0,1
336015,YK Pathan,8,13
336016,A Kumble,0,1
336016,CL White,10,14
336016,J Arunkumar,1,3
336016,JR Hopes,27,19
336016,LA Pomersbach,34,24
336016,MV Boucher,39,32
336016,Misbah-ul-Haq,21,8
336016,P Kumar,5,7
336016,R Dravid,29,26
336016,R Vinay Kumar,1,3
336016,SE Marsh,74,51
336016,V Kohli,21,22
336016,Z Khan,1,4
336017,A Chopra,13,17
336017,A Mishra,31,32
336017,AB de Villiers,7,12
336017,DJ Hussey,31,31
336017,G Gambhir,10,7
336017,Iqbal Abdulla,1,2
336017,LR Shukla,10,8
336017,MF Maharoof,10,12
336017,MK Tiwary,9,7
336017,PJ Sangwan,0,1
336017,S Dhawan,7,10
336017,SC Ganguly,7,4
336017,Salman Butt,48,44
336017,T Taibu,7,9
336017,TM Dilshan,25,19
336017,V Sehwag,0,1
336017,VY Mahesh,3,6
336017,WP Saha,5,6
336018,CK Kapugedera,0,2
336018,JA Morkel,5,4
336018,MS Dhoni,43,35
336018,RV Uthappa,16,19
336018,S Badrinath,53,33
336018,S Vidyut,16,11
336018,SK Raina,1,6
336018,SP Fleming,26,29
336018,SR Tendulkar,12,16
336018,ST Jayasuriya,114,48
336019,D Salunkhe,6,3
336019,JR Hopes,51,35
336019,Kamran Akmal,24,8
336019,LA Pomersbach,1,1
336019,M Kaif,1,5
336019,M Rawat,23,19
336019,NK Patel,57,39
336019,Pankaj Singh,1,5
336019,SE Marsh,115,69
336019,SR Watson,22,19
336019,YK Pathan,39,15
336019,Younis Khan,3,7
336019,Yuvraj Singh,49,16
336020,AC Gilchrist,14,9
336020,DB Ravi Teja,9,5
336020,DP Vijaykumar,1,1
336020,G Gambhir,79,48
336020,HH Gibbs,22,22
336020,MF Maharoof,19,11
336020,MK Tiwary,4,1
336020,PM Sarvesh Kumar,1,2
336020,PP Ojha,0,1
336020,RG Sharma,35,18
336020,RP Singh,1,2
336020,S Dhawan,68,52
336020,SB Styris,29,28
336020,Shahid Afridi,33,14
336020,TM Dilshan,16,6
336020,V Sehwag,0,2
336020,Y Venugopal Rao,34,18
336021,A Chopra,1,4
336021,AB Agarkar,15,14
336021,AB Dinda,1,1
336021,DJ Hussey,2,7
336021,DJ Thornely,1,6
336021,I Sharma,4,5
336021,LR Shukla,0,4
336021,Mohammad Hafeez,5,11
336021,RV Uthappa,9,8
336021,SC Ganguly,15,20
336021,SR Tendulkar,0,3
336021,ST Jayasuriya,48,17
336021,Salman Butt,13,13
336021,Shoaib Akhtar,2,7
336021,WP Saha,1,6
336022,DPMD Jayawardene,36,17
336022,G Gambhir,40,28
336022,JR Hopes,4,6
336022,LA Pomersbach,25,12
336022,MF Maharoof,0,1
336022,S Dhawan,8,5
336022,SE Marsh,2,5
336022,Shoaib Malik,1,1
336022,TM Dilshan,8,6
336022,V Sehwag,51,26
336022,Yuvraj Singh,23,8
336023,A Kumble,8,8
336023,Abdur Razzak,0,2
336023,CL White,10,16
336023,DT Patil,9,12
336023,GC Smith,75,49
336023,J Arunkumar,0,3
336023,JH Kallis,20,29
336023,Misbah-ul-Haq,0,1
336023,P Kumar,0,1
336023,R Dravid,75,36
336023,SA Asnodkar,50,44
336023,SR Watson,46,28
336023,V Kohli,3,7
336023,Z Khan,1,5
336024,AC Gilchrist,13,16
336024,AM Nayar,38,24
336024,DB Ravi Teja,37,27
336024,DJ Bravo,30,17
336024,DJ Thornely,8,18
336024,DNT Zoysa,10,7
336024,H Das,2,5
336024,LPC Silva,17,14
336024,PR Shah,10,6
336024,RG Sharma,6,10
336024,RP Singh,3,3
336024,RR Raje,1,2
336024,RV Uthappa,7,16
336024,SR Tendulkar,23,19
336024,ST Jayasuriya,36,15
336024,Shahid Afridi,0,1
336024,Y Venugopal Rao,57,38
336024,YV Takawale,5,5
336025,DB Das,27,32
336025,DJ Hussey,0,1
336025,LR Shukla,13,11
336025,Mohammad Hafeez,6,6
336025,PA Patel,19,28
336025,SC Ganguly,2,8
336025,SP Fleming,32,20
336025,Salman Butt,73,54
336025,WP Saha,15,9
336026,AB de Villiers,21,25
336026,B Akhil,3,3
336026,B Chipli,2,10
336026,CL White,1,2
336026,G Gambhir,39,31
336026,JH Kallis,25,21
336026,KD Karthik,6,4
336026,MF Maharoof,13,8
336026,Misbah-ul-Haq,47,25
336026,P Kumar,2,5
336026,R Dravid,9,11
336026,S Dhawan,16,13
336026,SP Goswami,52,42
336026,TM Dilshan,4,10
336026,V Sehwag,47,19
336026,Z Khan,4,1
336027,AB Agarkar,5,2
336027,DB Das,31,20
336027,DJ Hussey,11,15
336027,GC Smith,24,24
336027,I Sharma,2,1
336027,LR Shukla,15,10
336027,M Kaif,34,31
336027,Mohammad Hafeez,4,8
336027,SA Asnodkar,5,3
336027,SC Ganguly,32,34
336027,SR Watson,19,15
336027,Salman Butt,24,20
336027,Sohail Tanvir,13,8
336027,Umar Gul,7,4
336027,WP Saha,11,6
336027,YK Pathan,48,18
336028,A Nehra,0,1
336028,AM Nayar,27,18
336028,CRD Fernando,2,1
336028,DPMD Jayawardene,1,2
336028,DR Smith,20,16
336028,IK Pathan,9,5
336028,JR Hopes,0,1
336028,LA Pomersbach,79,50
336028,PR Shah,5,5
336028,RV Uthappa,9,13
336028,SD Chitnis,15,6
336028,SE Marsh,81,56
336028,SM Pollock,0,1
336028,SR Tendulkar,65,46
336028,ST Jayasuriya,20,12
336028,VS Yeligati,2,2
336028,Yuvraj Singh,7,6
336029,A Kumble,2,1
336029,B Akhil,6,7
336029,JA Morkel,1,5
336029,JH Kallis,5,5
336029,L Balaji,0,4
336029,M Ntini,0,6
336029,MS Dhoni,4,8
336029,MS Gony,4,4
336029,MV Boucher,17,15
336029,Misbah-ul-Haq,4,6
336029,P Kumar,21,11
336029,PA Patel,24,29
336029,R Dravid,47,39
336029,R Vinay Kumar,0,1
336029,S Badrinath,1,3
336029,S Vidyut,0,3
336029,SK Raina,21,20
336029,SP Fleming,45,40
336029,SP Goswami,10,19
336029,V Kohli,10,16
336031,AC Gilchrist,50,42
336031,DPMD Jayawardene,14,10
336031,HH Gibbs,44,34
336031,KC Sangakkara,50,25
336031,LA Pomersbach,13,12
336031,LPC Silva,23,10
336031,PP Chawla,16,9
336031,RG Sharma,50,27
336031,SB Styris,1,2
336031,SE Marsh,60,46
336031,Y Venugopal Rao,2,5
336031,Yuvraj Singh,17,15
336032,AM Nayar,1,3
336032,DR Smith,17,17
336032,G Gambhir,19,9
336032,KD Karthik,56,32
336032,MF Maharoof,20,13
336032,MK Tiwary,36,29
336032,PR Shah,0,1
336032,RV Uthappa,46,23
336032,S Dhawan,27,29
336032,SD Chitnis,3,4
336032,SM Pollock,16,15
336032,SR Tendulkar,18,16
336032,ST Jayasuriya,66,42
336032,TM Dilshan,0,1
336032,V Sehwag,18,6
336033,A Mukund,0,1
336033,GC Smith,91,51
336033,JA Morkel,71,40
336033,Kamran Akmal,53,28
336033,M Kaif,10,7
336033,MS Dhoni,12,8
336033,MS Gony,2,4
336033,PA Patel,54,40
336033,S Badrinath,1,2
336033,SA Asnodkar,41,27
336033,SK Raina,45,24
336033,SP Fleming,7,4
336033,T Kohli,3,3
336033,YK Pathan,6,5
336034,AC Gilchrist,10,11
336034,AS Yadav,3,4
336034,B Chipli,10,7
336034,HH Gibbs,5,7
336034,JH Kallis,6,5
336034,MV Boucher,16,14
336034,Misbah-ul-Haq,3,5
336034,P Kumar,8,4
336034,R Dravid,26,19
336034,RG Sharma,57,42
336034,SB Bangar,17,7
336034,SB Styris,2,3
336034,Shahid Afridi,1,2
336034,V Kohli,38,29
336034,VVS Laxman,52,44
336034,W Jaffer,44,37
336035,A Chopra,2,3
336035,DB Das,0,1
336035,DJ Hussey,12,11
336035,DPMD Jayawardene,11,10
336035,I Sharma,0,1
336035,IK Pathan,7,4
336035,JR Hopes,13,10
336035,KC Sangakkara,64,45
336035,LR Shukla,5,4
336035,PP Chawla,0,1
336035,SC Ganguly,86,53
336035,SE Marsh,40,31
336035,Salman Butt,24,19
336035,TM Srivastava,1,1
336035,Umar Gul,24,11
336035,WP Saha,13,15
336035,Yuvraj Singh,27,18
336036,AM Nayar,25,18
336036,DR Smith,8,7
336036,Kamran Akmal,18,16
336036,M Kaif,12,15
336036,MK Pandey,3,6
336036,NK Patel,40,29
336036,RA Jadeja,23,20
336036,RR Raje,1,2
336036,RV Uthappa,3,8
336036,SA Asnodkar,17,18
336036,SM Pollock,0,1
336036,SR Tendulkar,30,34
336036,SR Watson,18,19
336036,ST Jayasuriya,38,37
336036,YK Pathan,2,4
336036,YV Takawale,24,8
336037,AC Gilchrist,5,8
336037,AS Yadav,0,1
336037,DB Ravi Teja,40,28
336037,HH Gibbs,8,10
336037,JA Morkel,12,12
336037,MS Dhoni,37,25
336037,PA Patel,20,27
336037,PP Ojha,1,1
336037,RP Singh,10,4
336037,SB Styris,20,20
336037,SK Raina,54,43
336037,SP Fleming,14,9
336037,Shahid Afridi,1,2
336037,Y Venugopal Rao,46,46
336038,A Mishra,2,5
336038,G Gambhir,11,15
336038,GC Smith,25,21
336038,GD McGrath,4,3
336038,KD Karthik,10,12
336038,M Kaif,12,11
336038,M Rawat,2,4
336038,MF Maharoof,6,6
336038,MK Tiwary,0,3
336038,Mohammad Asif,3,5
336038,RA Jadeja,7,5
336038,S Dhawan,5,12
336038,SA Asnodkar,39,21
336038,SK Trivedi,1,2
336038,SK Warne,0,1
336038,SR Watson,52,29
336038,Sohail Tanvir,5,5
336038,TM Dilshan,33,22
336038,V Sehwag,3,4
336038,VY Mahesh,3,10
336038,YK Pathan,45,21
336039,DPMD Jayawardene,8,10
336039,IK Pathan,3,12
336039,JR Hopes,2,5
336039,KC Sangakkara,3,4
336039,PA Patel,51,48
336039,PP Chawla,12,15
336039,RR Powar,28,21
336039,S Sreesanth,0,2
336039,S Vidyut,6,7
336039,SE Marsh,23,17
336039,SK Raina,55,34
336039,WA Mota,25,26
336039,Yuvraj Singh,4,8
336040,CK Kapugedera,8,12
336040,JA Morkel,16,13
336040,Kamran Akmal,6,7
336040,M Kaif,12,9
336040,MS Dhoni,29,17
336040,NK Patel,2,11
336040,PA Patel,38,33
336040,RA Jadeja,0,1
336040,S Badrinath,6,2
336040,S Vidyut,16,14
336040,SA Asnodkar,28,20
336040,SK Raina,43,30
336040,SK Warne,9,9
336040,SR Watson,28,19
336040,Sohail Tanvir,9,7
336040,YK Pathan,56,39
392181,A Flintoff,24,23
392181,AM Nayar,35,14
392181,DJ Bravo,5,4
392181,Harbhajan Singh,4,2
392181,JDP Oram,8,6
392181,JP Duminy,9,7
392181,Joginder Sharma,16,15
392181,ML Hayden,44,35
392181,MS Dhoni,36,26
392181,PA Patel,0,2
392181,S Badrinath,0,2
392181,S Dhawan,22,21
392181,SK Raina,8,9
392181,SR Tendulkar,59,49
392181,ST Jayasuriya,26,20
392181,T Thushara,1,2
392181,Z Khan,2,3
392182,AD Mascarenhas,0,1
392182,B Akhil,9,9
392182,GC Smith,2,11
392182,JD Ryder,0,2
392182,KP Pietersen,32,30
392182,Kamran Khan,3,5
392182,LRPL Taylor,0,1
392182,M Rawat,4,7
392182,MM Patel,0,2
392182,NK Patel,4,16
392182,P Kumar,8,10
392182,R Dravid,66,48
392182,R Vinay Kumar,8,2
392182,RA Jadeja,11,10
392182,RV Uthappa,3,10
392182,SA Asnodkar,0,2
392182,SK Warne,3,9
392182,T Henderson,11,15
392182,V Kohli,3,8
392182,YK Pathan,11,14
392183,DPMD Jayawardene,6,6
392183,G Gambhir,15,13
392183,IK Pathan,6,7
392183,K Goel,38,21
392183,KC Sangakkara,8,11
392183,RS Bopara,22,16
392183,V Sehwag,38,16
392183,Yuvraj Singh,16,11
392184,A Chopra,11,19
392184,AB Agarkar,7,3
392184,AB Dinda,2,2
392184,AC Gilchrist,13,11
392184,BB McCullum,1,3
392184,BJ Hodge,31,34
392184,CH Gayle,10,12
392184,HH Gibbs,43,26
392184,I Sharma,9,9
392184,LR Shukla,8,6
392184,M Kartik,10,10
392184,MC Henriques,6,8
392184,RG Sharma,36,32
392184,SC Ganguly,1,12
392184,VVS Laxman,10,10
392185,A Flintoff,22,13
392185,A Kumble,1,5
392185,DW Steyn,0,3
392185,JA Morkel,5,3
392185,JH Kallis,24,19
392185,KP Pietersen,0,1
392185,LRPL Taylor,1,4
392185,ML Hayden,65,35
392185,MS Dhoni,16,14
392185,P Kumar,0,3
392185,PA Patel,30,26
392185,R Bishnoi,0,1
392185,R Dravid,20,18
392185,R Vinay Kumar,5,6
392185,RV Uthappa,20,19
392185,SK Raina,28,29
392185,V Kohli,11,13
392186,BB McCullum,21,16
392186,BJ Hodge,10,14
392186,CH Gayle,44,26
392186,DPMD Jayawardene,31,19
392186,IK Pathan,32,17
392186,K Goel,0,7
392186,KC Sangakkara,26,24
